year,prob,conf_raw,conf_cal,god,consensus,pick,real,hit,tier
2024,0.4398983542872968,56.0,53.5,False,2,0,1,0,STANDARD
2024,0.5166807108549598,51.7,43.0,False,4,1,0,0,STANDARD
2024,0.4938950867903557,50.6,43.0,False,4,0,1,0,STANDARD
2024,0.795315687468964,79.5,71.2,False,4,1,1,1,VOLUMEN
2024,0.7730222118548719,77.3,71.2,False,4,1,1,1,VOLUMEN
2024,0.17687083471713147,82.3,61.1,False,4,0,0,1,STANDARD
2024,0.43827260285313857,56.2,53.5,False,2,0,0,1,STANDARD
2024,0.2974989883620374,70.3,63.2,False,2,0,1,0,STANDARD
2024,0.5969283428577598,59.7,53.5,False,1,1,1,1,STANDARD
2024,0.18785370070504193,81.2,61.1,True,3,0,0,1,STANDARD
2024,0.3983508072269981,60.2,59.7,False,3,0,0,1,STANDARD
2024,0.2862010335655879,71.4,59.7,False,4,0,1,0,STANDARD
